不允许存在循环引用。,It's A New Soundtrack. I Could Dance to This Beat,,,,,,
Time,45669,45670,45671,45672,45673,45674,45675
08:00,R:,R: Rise&Shine,R: Rise&Shine,R: Rise&Shine,R: Rise&Shine,R: Rise&Shine,放空日
08:30,R:,R:,R:,R:,R:,R:,R:
09:00,R:,W: Plan & Ritual,W: Plan & Ritual,W: Plan & Ritual,W: Plan & Ritual,W: Plan & Ritual,R:
09:30,R:,W: Plan & Ritual,W: Plan & Ritual,W: Plan & Ritual,W: Plan & Ritual,W: Plan & Ritual,R:
10:00,R:,W: FROG,W: FROG,W: FROG,W: FROG,W: FROG,R:
10:30,W: 健身环,W: FROG,W: FROG,W: FROG,W: FROG,W: FROG,W: 健身环
11:00,W: 健身环,W: FROG,W: FROG,W: FROG,W: FROG,W: FROG,W: 健身环
11:30,W: weekly summary,W: FROG,W: FROG,W: FROG,W: FROG,W: FROG,R:
12:00,R:,W: FROG,W: FROG,W: FROG,W: FROG,W: FROG,R:
12:30,R:,R: lunch break,R: lunch break,R: lunch break,R: lunch break,R: lunch break,R:
13:00,W: 星巴克 ME TIME,W: Ritual/Solar,W: Ritual/Solar,W: Ritual/Solar,W: Ritual/Solar,W: Ritual/Solar,R:
13:30,W: 星巴克 ME TIME,W: Explore TIME,W: Explore TIME,W: Explore TIME,W: Explore TIME,W: Explore TIME,R:
14:00,W: 星巴克 ME TIME,W: Explore TIME,W: Explore TIME,W: Explore TIME,W: Explore TIME,W: Explore TIME,R:
14:30,W: 星巴克 ME TIME,W: work,W: work,W: work,W: work,W: work,R:
15:00,W: 星巴克 ME TIME,W: work,W: work,W: work,W: work,W: work,R:
15:30,W: 星巴克 ME TIME,W: 健身房 ,W: 健身房 ,W: 健身房 ,W: 健身房 ,W: 健身房 ,R:
16:00,W: 星巴克 ME TIME,R:,R:,R:,R:,R:,R:
16:30,W: 星巴克 ME TIME,W: work,W: work,W: work,W: work,W: work,R:
17:00,R:,W: work,W: work,W: work,W: work,W: work,R:
17:30,R:,W: work,W: work,W: work,W: work,W: work,R:
18:00,G: 快乐日程,W: work,W: work,W: work,W: work,W: work,G: 快乐日程
18:30,G: 快乐日程,W: RITUAL,W: RITUAL,W: RITUAL,W: RITUAL,W: RITUAL,G: 快乐日程
19:00,G: 快乐日程,R:,R:,R:,R:,R:,G: 快乐日程
19:30,G: 快乐日程,R:,R:,R:,R:,R:,G: 快乐日程
20:00,R:,G: 快乐日程,G: 快乐日程,G: 快乐日程,G: 快乐日程,G: 快乐日程,R:
20:30,R:,G: 快乐日程,G: 快乐日程,G: 快乐日程,G: 快乐日程,G: 快乐日程,R:
21:00,R:,G: 快乐日程,G: 快乐日程,G: 快乐日程,G: 快乐日程,G: 快乐日程,R:
21:30,R:,G: 快乐日程,G: 快乐日程,G: 快乐日程,G: 快乐日程,G: 快乐日程,R:
22:00,R:,G: 快乐日程,G: 快乐日程,G: 快乐日程,G: 快乐日程,G: 快乐日程,R:
22:30,R:,R: shower,R: shower,R: shower,R: shower,R: shower,R:
23:00,R:,R:,R:,R:,R:,R:,R:
23:30,R:,R: sleep,R: sleep,R: sleep,R: sleep,R: sleep,R:
00:00,R:,R: sleep,R: sleep,R: sleep,R: sleep,R: sleep,R:
00:30,R:,R: sleep,R: sleep,R: sleep,R: sleep,R: sleep,R:
G: ,4,5,5,5,5,5,4
R: ,19,11,11,11,11,11,27
M: ,0,0,0,0,0,0,0
W:  ,11,18,18,18,18,18,2
P: ,0,0,0,0,0,0,0
CHECK=34?,34,34,34,34,34,34,33
